average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.515278,-0.0019331582868471742,2.1777675,0.2917085388302803,292.44,5.2,260.9,5.9,0.8830371545677678,3664,912,38.0,9728,622592
2.5945292,-0.0014860781468451023,1.633343,0.26964437037706374,256.74,5.8,237.82,6.5,0.8506321334328298,3701,936,39.0,9984,638976
2.5672631,-0.002030463311821222,1.7117871,0.2907067409157753,273.91,5.6,239.79,6.7,0.7917035210258814,3621,960,40.0,10240,655360
2.5651922,-0.0025665562599897383,1.8626797,0.2966664217412472,288.1,5.3,259.6,6.3,0.875481555596749,3677,984,41.0,10496,671744
2.601468,-0.002144147006329149,1.3686626,0.31020175278186796,284.95,5.3,283.75,5.4,0.7980180511375432,3650,1008,42.0,10752,688128
2.5625668,-0.001841804930008948,1.6639092,0.2877440431714058,305.13,4.9,280.37,5.6,0.8802037111268639,3691,1032,43.0,11008,704512
2.5768821,-0.0021966146817430855,1.5227405,0.2762060672044754,323.71,4.7,294.23,5.1,0.8941604232995677,3663,1056,44.0,11264,720896
2.5457432,-0.0023158220038749277,1.93384,0.26142695859074594,304.78,5.1,306.6,4.6,0.8851911483858006,3699,1080,45.0,11520,737280
2.5786507,-0.002286845538765192,1.5669028,0.23687319085001945,325.06,4.5,311.82,4.6,0.8810341369904248,3664,1104,46.0,11776,753664
2.5695014,-0.0014626357611268758,1.8518093,0.26340382039546967,305.01,5.2,304.05,5.2,0.8361806077729649,3702,1128,47.0,12032,770048
2.5637872,-0.0016471494687721132,1.8664584,0.24831508085131646,279.68,5.4,320.26,5.0,0.910625367862364,3670,1152,48.0,12288,786432
2.5849607,-0.0019401328382082283,1.7402964,0.2736805979907513,280.23,5.7,319.51,4.5,0.8159712202393791,3698,1176,49.0,12544,802816
2.6092982,-0.0015001132781617343,1.5836354,0.288297827988863,283.99,5.7,302.73,4.8,0.8217300481839029,3659,1200,50.0,12800,819200
2.5963979,-0.0019656488578766586,1.7517085,0.25674232468008995,272.26,5.2,297.48,4.9,0.907371255505743,3690,1224,51.0,13056,835584
2.589447,-0.0015199346630834043,1.6565598,0.2728517892956734,274.95,5.4,305.85,4.8,0.8508084386585406,3662,1248,52.0,13312,851968
2.5568056,-0.002344417490530759,2.0285888,0.28011141091585157,257.91,6.1,303.56,4.8,0.8706884202601658,3691,1272,53.0,13568,868352
2.5739737,-0.0025086994539014994,1.594143,0.30688282653689386,260.45,6.2,299.06,4.9,0.8096638659016618,3699,1296,54.0,13824,884736
2.5913882,-0.0028671499690972268,1.5003682,0.33701082453131675,288.11,5.7,280.12,5.4,0.808797461562617,3662,1320,55.0,14080,901120
2.5455685,-0.002602436929009855,2.042359,0.32680853992700576,318.16,4.8,274.46,5.6,0.8853807544496816,3699,1344,56.0,14336,917504
2.5541646,-0.003139171884395182,2.2406313,0.2991201370954514,309.46,4.9,273.91,5.4,0.9273158495549148,3666,1368,57.0,14592,933888
2.571084,-0.00320253832731396,2.04369,0.3225872269272804,276.16,6.1,306.08,4.9,0.8238006591922626,3691,1392,58.0,14848,950272
2.592134,-0.0030326910549774767,1.5386914,0.2932171918451786,257.48,6.0,310.08,5.2,0.8585460029856469,3700,1416,59.0,15104,966656
2.554898,-0.002222015275619924,2.0280194,0.26321066051721576,306.43,4.8,282.15,5.5,0.954713064081139,3657,1440,60.0,15360,983040
2.5948145,-0.0031220036512240768,1.5726062,0.2907161551713944,307.5,5.1,265.6,6.1,0.8685341083160716,3689,1464,61.0,15616,999424
2.5625033,-0.0028353497525677087,1.7610708,0.2283135825395584,294.23,5.6,276.65,6.0,0.906260942024235,3651,1488,62.0,15872,1015808
2.5285258,-0.002704109239857644,2.1739242,0.2386169971525669,291.74,5.3,294.28,5.2,0.9035541902809129,3691,1512,63.0,16128,1032192
2.5515108,-0.0031696137902326883,1.7510115,0.29010648146271706,274.22,5.9,266.57,5.6,0.8777204754415127,3635,1536,64.0,16384,1048576
2.56125,-0.0026803287980146705,1.5603269,0.27918172881007197,265.0,5.7,265.48,5.9,0.9051440010502478,3642,1560,65.0,16640,1064960
2.5048656,-0.001969164372421801,1.9881859,0.2747809337079525,295.72,4.9,265.1,5.8,0.9241263200247539,3660,1584,66.0,16896,1081344
2.4796798,-0.0020920194336213173,2.4417505,0.25995048448443414,309.85,4.7,268.52,5.8,0.925456026484735,3622,1608,67.0,17152,1097728
2.5116553,-0.0020054990076459945,2.049004,0.2706661607325077,260.85,5.8,308.24,5.0,0.8871954471814762,3659,1632,68.0,17408,1114112
2.5185518,-0.0021757668652571736,1.8060694,0.2694195739924908,254.71,6.0,291.03,5.4,0.9043475095482468,3634,1656,69.0,17664,1130496
2.537976,-0.0025729529536329208,1.6852016,0.284517455548048,304.96,5.0,257.86,5.8,0.8602682667147601,3670,1680,70.0,17920,1146880
2.5666292,-0.0022716890857554972,1.5444604,0.28530035838484763,334.24,4.2,288.76,5.2,0.8816034136742623,3637,1704,71.0,18176,1163264
2.544482,-0.0036883370205760004,1.8146927,0.2848545041680336,258.06,5.5,281.34,5.2,0.895844681450587,3659,1728,72.0,18432,1179648
2.5705757,-0.0026246831589378417,1.254563,0.25404546193778516,249.27,5.6,286.55,4.9,0.9421341848768635,3638,1752,73.0,18688,1196032
2.536889,-0.0023679325543344023,1.3140107,0.2536537254601717,301.55,4.7,254.49,5.6,0.891164261726151,3670,1776,74.0,18944,1212416
2.5077941,-0.0029052681545726957,1.5266416,0.24996228881180285,303.44,4.8,287.0,4.9,0.9104687569448195,3635,1800,75.0,19200,1228800
2.500109,-0.002909281705506146,1.7673053,0.230070124194026,312.92,4.6,280.42,5.5,0.9193502094254229,3662,1824,76.0,19456,1245184
2.5156047,-0.002227097654249519,1.7306052,0.25926204860210417,295.08,5.1,295.83,5.0,0.8869718695118537,3654,1848,77.0,19712,1261568
2.5314143,-0.0034100505872629583,1.5205613,0.2161587032303214,286.95,5.2,303.96,4.6,0.9544664238914684,3693,1872,78.0,19968,1277952
2.5353906,-0.002221951619721949,2.0008347,0.21276248913258314,340.51,3.8,261.3,5.9,0.8879135523542726,3688,1896,79.0,20224,1294336
2.558553,-0.00335453940089792,1.6295317,0.21359138559550048,336.04,4.1,294.5,5.0,0.900247834867543,3658,1920,80.0,20480,1310720
2.534893,-0.0031354564148932695,1.8949153,0.21456221472471954,303.9,5.0,305.6,4.8,0.8608822079015095,3692,1944,81.0,20736,1327104
2.563719,-0.0024804135132580995,1.6526071,0.2535688790678978,307.94,5.0,303.31,4.9,0.9085325053079907,3645,1968,82.0,20992,1343488
2.5463734,-0.0024751692544668913,1.9788878,0.28295583710074423,287.88,5.1,273.4,5.6,0.9129808180115258,3677,1992,83.0,21248,1359872
2.5595381,-0.002445692685432732,1.8798245,0.29243902310729025,285.34,5.1,259.35,5.9,0.9237000484551234,3645,2016,84.0,21504,1376256
2.5380902,-0.0027627287153154613,2.1040409,0.28672142058610917,275.8,5.4,298.75,5.3,0.9074677747206373,3656,2040,85.0,21760,1392640
2.5056865,-0.002581833717413247,2.5441282,0.28760527580976486,290.28,5.2,309.15,5.0,0.9311425391245164,3609,2064,86.0,22016,1409024
2.5622656,-0.002663664845749736,1.8755317,0.25146036349236967,261.71,6.0,298.85,5.1,0.9520225773576485,3677,2088,87.0,22272,1425408
2.5901973,-0.002681962572969496,1.4833401,0.2954793766885996,238.03,6.2,285.27,5.3,0.8483031224066643,3658,2112,88.0,22528,1441792
2.5783253,-0.0024827908026054503,1.5540427,0.2672469965368509,270.77,5.6,282.19,5.5,0.9319170855414682,3674,2136,89.0,22784,1458176
2.5542808,-0.0028881952399387955,1.8739249,0.25492118947207926,307.33,4.7,263.06,6.0,0.9159860954090854,3630,2160,90.0,23040,1474560
2.5963442,-0.0026383204967714846,1.3452486,0.2740403147041798,297.65,4.7,282.94,5.6,0.8940932746073678,3664,2184,91.0,23296,1490944
2.596544,-0.0032550247106701135,1.4104992,0.24586761832237244,275.82,5.2,280.65,5.6,0.893227673235223,3635,2208,92.0,23552,1507328
2.5897915,-0.0031984595255926253,1.3938974,0.25101413011550905,278.97,5.4,273.18,5.2,0.8496852313515932,3662,2232,93.0,23808,1523712
2.5442495,-0.0024199750274419784,2.1700206,0.27727770000696184,306.99,5.1,231.78,6.1,0.8514291080645752,3643,2256,94.0,24064,1540096
2.5475547,-0.0021943402430042625,2.5094128,0.29237431913614276,284.26,5.4,267.16,5.4,0.9191515208642489,3670,2280,95.0,24320,1556480
2.5802858,-0.001734633040614426,1.8023335,0.32063544541597366,246.99,6.2,317.06,4.4,0.8741762894027769,3657,2304,96.0,24576,1572864
2.58541,-0.0019340003281831742,1.684239,0.32598701789975165,257.64,6.1,277.19,5.2,0.9160849370759365,3696,2328,97.0,24832,1589248
2.5727427,-0.0026194407232105732,1.6400534,0.318717042952776,228.28,6.2,290.04,5.1,0.8975132565673611,3674,2352,98.0,25088,1605632
2.564645,-0.0030984365660697223,1.9139339,0.29132879704236986,268.87,5.5,284.37,5.2,0.9148993235850958,3701,2376,99.0,25344,1622016
2.5414057,-0.0031879116035997868,2.2096527,0.2775427429378033,285.18,5.0,266.12,5.4,0.9017462875976929,3650,2400,100.0,25600,1638400
2.5312002,-0.004112193756736815,2.1471334,0.29146393209695814,275.09,5.7,279.79,5.4,0.9186189020487157,3700,2424,101.0,25856,1654784
2.552444,-0.0035450254241004586,1.5048721,0.3141075266897678,252.8,6.0,308.93,4.6,0.891337431067456,3663,2448,102.0,26112,1671168
2.5095384,-0.0028793074935674666,2.3487792,0.3191981914639473,250.06,6.1,279.57,5.0,0.9062116818434441,3704,2472,103.0,26368,1687552
2.536873,-0.0035037326300516726,2.1579487,0.3081795516610146,250.73,5.7,267.45,5.5,0.9086503030818606,3661,2496,104.0,26624,1703936
2.5445483,-0.003472028593532741,1.9935598,0.29023425370454786,255.46,5.9,294.29,4.8,0.9127624273437671,3694,2520,105.0,26880,1720320
2.5361836,-0.00385520696407184,2.05559,0.2802243819832802,287.0,5.5,286.09,4.9,0.9088138068355763,3694,2544,106.0,27136,1736704
2.5501623,-0.003953910318668932,1.7540109,0.26534566536545756,273.3,5.5,265.2,5.6,0.925257694797228,3670,2568,107.0,27392,1753088
2.5103738,-0.003534469448495656,2.5546176,0.2939503653347492,259.76,5.7,242.39,6.1,0.9058710545590699,3697,2592,108.0,27648,1769472
2.5095954,-0.003179907703306526,2.2732136,0.28054802373051646,279.49,5.3,255.19,6.0,0.9446260891273339,3669,2616,109.0,27904,1785856
2.5252554,-0.0029164198925718666,2.1421158,0.25642863288521767,285.04,5.2,281.97,5.6,0.9184670131839965,3703,2640,110.0,28160,1802240
2.5248725,-0.002997115352191031,2.3156965,0.25232036888599396,282.28,5.1,264.8,5.9,0.9324752471109422,3627,2664,111.0,28416,1818624
2.578406,-0.002702178182080388,1.700966,0.2578578881919384,278.38,5.6,244.67,6.2,0.8636159659633871,3662,2688,112.0,28672,1835008
2.5031197,-0.0028069965494796636,2.7997942,0.2298366663604975,292.21,5.2,274.78,5.4,0.9525621880425875,3637,2712,113.0,28928,1851392
2.5237226,-0.0026950320787727834,2.3679433,0.23931614704430104,303.88,4.7,297.72,5.0,0.9412409988083777,3667,2736,114.0,29184,1867776
2.541639,-0.003611946883611381,2.02315,0.2658245857805014,246.23,6.2,274.65,5.6,0.9088600346321234,3620,2760,115.0,29440,1884160
2.5374923,-0.003132064857054502,2.4147265,0.24963163204491137,267.88,5.6,301.29,5.3,0.9153885280589588,3662,2784,116.0,29696,1900544
2.5701656,-0.00328700287733227,2.0001314,0.28358794309198854,255.01,5.8,285.96,5.7,0.9101073378582922,3627,2808,117.0,29952,1916928
2.4968932,-0.0027127259271219374,2.5671418,0.2817473082244396,224.19,6.4,261.9,5.6,0.9336426648175344,3665,2832,118.0,30208,1933312
2.4981527,-0.0034057079628109933,2.6418982,0.27420700892806055,257.32,5.8,258.91,5.3,0.9149375491075431,3638,2856,119.0,30464,1949696
2.5391996,-0.003142945107538253,2.4700322,0.2545116890966892,265.76,5.8,268.6,5.2,0.9411487443342029,3647,2880,120.0,30720,1966080
2.5345137,-0.00289884981000796,2.5135512,0.22937019020318986,295.23,5.1,257.23,5.6,0.9476760503512286,3631,2904,121.0,30976,1982464
2.5612965,-0.0028284051292575894,2.2493799,0.23798944517970086,321.38,4.4,271.68,5.3,0.89944481640985,3670,2928,122.0,31232,1998848
2.5773149,-0.0033379384013824164,2.2280915,0.23134711146354675,299.79,5.1,254.16,5.7,0.9291748381040773,3628,2952,123.0,31488,2015232
2.5603259,-0.0037283249222673474,2.1409495,0.22545154243707657,262.38,5.9,222.21,6.5,0.9457702260475397,3663,2976,124.0,31744,2031616
2.5722904,-0.0037487786798737943,1.7326328,0.24919620975852014,275.62,5.9,262.34,6.2,0.907256505566202,3638,3000,125.0,32000,2048000
2.5408242,-0.0038438053941354158,1.8293598,0.22835998751223088,288.81,5.3,270.55,6.1,0.9385221670798456,3666,3024,126.0,32256,2064384
2.537485,-0.003766213010530919,2.044633,0.22630815990269185,283.07,5.4,279.52,5.3,0.9216266827275161,3633,3048,127.0,32512,2080768
2.5550668,-0.004159019498620182,1.9841903,0.23115934781730174,299.81,5.0,281.12,5.3,0.9240483390704525,3667,3072,128.0,32768,2097152
2.5450377,-0.0037907607317902146,2.0479844,0.22515118069946766,280.74,5.2,291.22,5.3,0.909900678654473,3683,3096,129.0,33024,2113536
2.5629566,-0.0036608915030956267,2.082793,0.21046829849481583,273.83,5.3,255.14,6.0,0.9369745504858328,3658,3120,130.0,33280,2129920
2.5925977,-0.003460281719453633,2.259811,0.21287949308753013,279.54,5.2,247.77,6.5,0.9245665587191905,3697,3144,131.0,33536,2146304
2.619285,-0.0038306939299218357,1.6071346,0.22859058499336243,265.82,5.7,252.08,6.2,0.9113834955601188,3665,3168,132.0,33792,2162688
2.6075726,-0.003571807115804404,1.6508635,0.22442690789699554,296.02,5.2,272.96,5.8,0.884683616133036,3702,3192,133.0,34048,2179072
2.6152008,-0.003742044814862311,1.6197056,0.24633048459887505,303.38,5.2,283.26,5.5,0.9136809901486338,3653,3216,134.0,34304,2195456
2.5873148,-0.003844884131103754,1.7967159,0.2424233877658844,297.47,5.3,281.83,5.6,0.9257394793517807,3694,3240,135.0,34560,2211840
2.5856483,-0.003633816558867693,1.7722534,0.25720274686813355,255.63,5.7,285.13,5.8,0.8858743774163923,3638,3264,136.0,34816,2228224
2.5583017,-0.004836920420639217,2.0046365,0.236846966072917,284.32,5.3,251.29,6.0,0.9449651821209611,3683,3288,137.0,35072,2244608
2.528975,-0.004461628291755915,2.4877398,0.24218412883579732,324.31,4.3,239.52,6.2,0.9280253373380368,3643,3312,138.0,35328,2260992
2.5354385,-0.0038202193891629576,1.9965634,0.27031462870538236,296.8,5.2,290.92,5.5,0.8884250143630315,3681,3336,139.0,35584,2277376
2.5267553,-0.0033245974965393542,1.9852399,0.26407506950199605,275.35,6.1,237.32,6.4,0.8901029990748198,3656,3360,140.0,35840,2293760
